issn,publisher,title
1742-7061,Elsevier ,Acta Biomaterialia
1742-6596,IOP Publishing,Journal of Physics Conference Series
1742-6588,IOP Publishing,Journal of Physics Conference Series
1742-4690,Springer (Biomed Central Ltd.),Retrovirology
1742-464X,Wiley (Blackwell Publishing),FEBS Journal
1742-2094,Springer (Biomed Central Ltd.),Journal of Neuroinflammation
1687-9716,Hindawi Limited,International Journal of Ecology
1687-9708,Hindawi Limited,International Journal of Ecology
1687-6342,Hindawi Limited,Advances in Pharmacological Sciences
1687-6334,Hindawi Limited,Advances in Pharmacological Sciences
1687-5443,Hindawi Limited,Neural Plasticity
1676-5680,Genetics and Molecular Research,Genetics and Molecular Research
1674-7305,Springer-Verlag,Science China Life Sciences
1674-2788,Oxford University Press,Journal of Molecular Cell Biology
1672-9609,Wiley (Blackwell Publishing),Insect Science
1672-0229,Elsevier ,Genomics Proteomics & Bioinformatics
1663-9812,Frontiers Media SA,Frontiers in Pharmacology
1662-999X,Springer-Verlag,Journal of Pseudo-Differential Operators and Applications
1662-9981,Springer-Verlag,Journal of Pseudo-Differential Operators and Applications
1661-8777,S. Karger AG,Molecular Syndromology
1661-8769,S. Karger AG,Molecular Syndromology
1618-2650,Springer-Verlag,Analytical and Bioanalytical Chemistry
1618-2642,Springer-Verlag,Analytical and Bioanalytical Chemistry
1616-1599,Inter-Research Science Center,Marine Ecology Progress Series
1615-6102,Springer-Verlag,PROTOPLASMA
1614-2950,Springer-Verlag,Tree Genetics & Genomes
1614-2942,Springer-Verlag,Tree Genetics & Genomes
1613-4990,Springer-Verlag,Microfluidics and Nanofluidics
1613-4982,Springer-Verlag,Microfluidics and Nanofluidics
1612-4677,Springer-Verlag,European Journal of Forest Research
1612-4669,Springer-Verlag,European Journal of Forest Research
1611-7530,Springer-Verlag,Theory in Biosciences
1601-5223,Springer (Biomed Central Ltd.),Hereditas
1591-9528,Springer-Verlag,Clinical and Experimental Medicine
1591-8890,Springer-Verlag,Clinical and Experimental Medicine
1588-2861,Springer-Verlag,Scientometrics
1579-1505,Springer-Verlag,Revista de la Real Academia de Ciencias Exactas Físicas y Naturales Serie A Matemáticas
1578-7303,Springer-Verlag,Revista de la Real Academia de Ciencias Exactas Físicas y Naturales Serie A Matemáticas
1574-6941,Oxford University Press,FEMS Microbiology Ecology
1573-8604,Springer-Verlag,International Journal of Primatology
1573-7217,Springer-Verlag,Breast Cancer Research and Treatment
1573-6881,Springer-Verlag,Journal of Bioenergetics and Biomembranes
1573-6849,Springer-Verlag,Chromosome Research
1573-6768,Springer-Verlag,Biogerontology
1573-5079,Springer-Verlag,Photosynthesis Research
1573-5044,Springer-Verlag,Plant Cell Tissue and Organ Culture (PCTOC)
1573-4919,Springer-Verlag,Molecular and Cellular Biochemistry
1573-3432,Springer-Verlag,Journal of Autism and Developmental Disorders
1573-2959,Springer-Verlag,Environmental Monitoring and Assessment
1573-2835,Springer-Verlag,Journal of Abnormal Child Psychology
1573-1561,Springer-Verlag,Journal of Chemical Ecology
1573-1499,Springer-Verlag,Computational Geosciences
1573-0875,Springer-Verlag,Origins of Life and Evolution of Biospheres
1572-9788,Springer-Verlag,Molecular Breeding
1572-9753,Springer-Verlag,Journal of Insect Conservation
1572-9516,Springer-Verlag,Foundations of Physics
1572-9265,Springer-Verlag,Numerical Algorithms
1572-8358,Springer-Verlag,Acta Biotheoretica
1569-8041,Oxford University Press,Annals of Oncology
1569-1993,Elsevier ,Journal of Cystic Fibrosis
1567-7249,Elsevier ,Mitochondrion
1562-7020,Informa UK (Taylor & Francis),African Zoology
1559-2308,Landes Bioscience,Epigenetics
1559-2294,Landes Bioscience,Epigenetics
1559-131X,Springer-Verlag,Medical Oncology
1559-128X,The Optical Society,Applied Optics
1558-2639,Institute of Electrical and Electronics Engineers,IEEE Transactions on NanoBioscience
1558-2256,Institute of Electrical and Electronics Engineers,Proceedings of the IEEE
1557-3265,American Association for Cancer Research,Clinical Cancer Research
1556-0864,Elsevier ,Journal of Thoracic Oncology
1555-8576,Landes Bioscience,Cancer Biology & Therapy
1552-4922,Wiley (John Wiley & Sons),Cytometry Part A
1552-4841,Wiley (John Wiley & Sons),American Journal of Medical Genetics Part B Neuropsychiatric Genetics
1552-4531,SAGE Publications,Journal of Biological Rhythms
1551-5044,SAGE Publications,Journal of Histochemistry & Cytochemistry
1551-5036,BioOne (Coastal Education and Research Foundation),Journal of Coastal Research
1551-0018,American Institute of Mathematical Sciences,Mathematical Biosciences and Engineering
1550-4131,Elsevier ,Cell Metabolism
1549-7836,Informa UK (Taylor & Francis),Critical Reviews in Plant Sciences
1549-5485,Cold Spring Harbor Laboratory,Learning & Memory
1545-5009,Wiley (John Wiley & Sons),Pediatric Blood & Cancer
1545-4304,Annual Reviews,The Annual Review of Pharmacology and Toxicology
1540-9295,Wiley (John Wiley & Sons),Frontiers in Ecology and the Environment
1539-2791,Springer-Verlag,Neuroinformatics
1538-4047,Landes Bioscience,Cancer Biology & Therapy
1536-1241,Institute of Electrical and Electronics Engineers,IEEE Transactions on NanoBioscience
1536-0040,Society for Industrial and Applied Mathematics,SIAM Journal on Applied Dynamical Systems
1535-7228,American Psychiatric Publishing,American Journal of Psychiatry
1535-4989,American Thoracic Society,American Journal of Respiratory Cell and Molecular Biology
1535-4970,American Thoracic Society,American Journal of Respiratory and Critical Care Medicine
1534-3170,Springer-Verlag,Current Cardiology Reports
1533-4880,American Scientific Publishers,Journal of Nanoscience and Nanotechnology
1533-4406,New England Journal of Medicine,New England Journal of Medicine
1532-1827,Springer Nature,British Journal of Cancer
1532-0456,Elsevier ,Comparative Biochemistry and Physiology Part C Toxicology & Pharmacology
1531-5320,Springer - Psychonomic Society,Psychonomic Bulletin & Review
1531-4650,Oxford University Press,The Quarterly Journal of Economics
1531-2267,American Physiological Society,Physiological Genomics
1526-954X,Wiley (John Wiley & Sons),genesis
1526-632X,Ovid Technologies (Wolters Kluwer) - American Academy of Neurology,Neurology
1525-4135,Ovid Technologies (Wolters Kluwer)  - Lippincott Williams & Wilkins,JAIDS Journal of Acquired Immune Deficiency Syndromes
1525-3961,Springer-Verlag,Journal of the Association for Research in Otolaryngology
1525-3163,Oxford University Press,Journal of Animal Science
1524-4571,Ovid Technologies Wolters Kluwer -American Heart Association,Circulation Research
1524-4563,Ovid Technologies Wolters Kluwer -American Heart Association,Hypertension
1523-5866,Oxford University Press,Neuro-Oncology
1523-3782,Springer-Verlag,Current Cardiology Reports
1522-8517,Oxford University Press,Neuro-Oncology
1522-1563,American Physiological Society,AJP Cell Physiology
1522-1466,American Physiological Society,AJP Renal Physiology
1521-6616,Elsevier ,Clinical Immunology
1521-0529,Informa UK (Taylor & Francis),Geomicrobiology Journal
1520-5827,American Chemical Society,Langmuir
1520-5134,American Chemical Society,Journal of Chemical & Engineering Data
1520-5126,American Chemical Society,Journal of the American Chemical Society
1520-4804,American Chemical Society,Journal of Medicinal Chemistry
1520-0442,American Meteorological Society,Journal of Climate
1492-7535,Wiley (Blackwell Publishing),Hemodialysis International
1480-3291,Canadian Science Publishing,Canadian Journal of Chemistry
1479-7364,Springer (Biomed Central Ltd.),Human Genomics
1479-6805,Bioscientifica,Journal of Endocrinology
1479-5876,Springer (Biomed Central Ltd.),Journal of Translational Medicine
1478-811X,Springer (Biomed Central Ltd.),Cell Communication and Signaling
1478-3967,IOP Publishing,Physical Biology
1476-945X,Elsevier ,Ecological Complexity
1476-9271,Elsevier ,Computational Biology and Chemistry
1476-5497,Springer Nature,International Journal of Obesity
1476-4660,Springer Nature,Nature Materials
1476-1122,Springer Nature,Nature Materials
1476-069X,Springer (Biomed Central Ltd.),Environmental Health
1475-6072,Cambridge University Press,Journal of Applied Probability
1475-2859,Springer (Biomed Central Ltd.),Microbial Cell Factories
1472-6785,Springer (Biomed Central Ltd.),BMC Ecology
1471-2962,The Royal Society,Philosophical Transactions of The Royal Society A Mathematical Physical and Engineering Sciences
1471-2474,Springer (Biomed Central Ltd.),BMC Musculoskeletal Disorders
1471-2458,Springer (Biomed Central Ltd.),BMC Public Health
1471-2350,Springer (Biomed Central Ltd.),BMC Medical Genetics
1471-2121,Springer (Biomed Central Ltd.),BMC Cell Biology
1471-0080,Springer Nature,Nature Reviews Molecular Cell Biology
1471-0072,Springer Nature,Nature Reviews Molecular Cell Biology
1471-0048,Springer Nature,Nature Reviews Neuroscience
1470-8736,Portland Press,Clinical Science
1470-160X,Elsevier ,Ecological Indicators
1469-8994,Cambridge University Press,Quarterly Reviews of Biophysics
1469-8161,Cambridge University Press,Parasitology
1469-5111,Oxford University Press,The International Journal of Neuropsychopharmacology
1468-330X,BMJ,Journal of Neurology Neurosurgery & Psychiatry
1468-2044,BMJ,Archives of Disease in Childhood
1467-937X,Oxford University Press,The Review of Economic Studies
1467-9280,SAGE Publications,Psychological Science
1467-2960,Wiley (Blackwell Publishing),Fish and Fisheries
1464-0686,Informa UK (Taylor & Francis),Memory
1461-1457,Oxford University Press,The International Journal of Neuropsychopharmacology
1460-2709,Oxford University Press,Medical Mycology
1460-2423,Oxford University Press,Glycobiology
1460-2407,Oxford University Press,MHR Basic science of reproductive medicine
1460-2350,Oxford University Press,Human Reproduction
1460-2105,Oxford University Press,JNCI Journal of the National Cancer Institute
1440-1703,Springer-Verlag,Ecological Research
1439-4227,Wiley (John Wiley & Sons),ChemBioChem
1439-1791,Elsevier ,Basic and Applied Ecology
1438-7573,Springer-Verlag,Journal of the Association for Research in Otolaryngology
1436-3305,Springer-Verlag,Gastric Cancer
1436-3291,Springer-Verlag,Gastric Cancer
1435-232X,Springer Nature,Journal of Human Genetics
1435-1951,Pensoft Publishers,Deutsche Entomologische Zeitschrift
1435-0629,Springer-Verlag,Ecosystems
1434-5161,Springer Nature,Journal of Human Genetics
1433-7851,Wiley (John Wiley & Sons),Angewandte Chemie International Edition
1432-9840,Springer-Verlag,Ecosystems
1432-2048,Springer-Verlag,Planta
1432-198X,Springer-Verlag,Pediatric Nephrology
1432-1904,Springer-Verlag,The Science of Nature
1432-1106,Springer-Verlag,Experimental Brain Research
1432-0886,Springer-Verlag,Chromosoma
1432-0843,Springer-Verlag,Cancer Chemotherapy and Pharmacology
1432-0738,Springer-Verlag,Archives of Toxicology
1432-0614,Springer-Verlag,Applied Microbiology and Biotechnology
1432-0533,Springer-Verlag,Acta Neuropathologica
1432-0428,Springer-Verlag,Diabetologia
1432-041X,Springer-Verlag,Development Genes and Evolution
1431-7613,Springer-Verlag,Theory in Biosciences
1430-2772,Springer-Verlag,Psychological Research
1424-8247,MDPI AG,Pharmaceuticals
1423-0062,S. Karger AG,Human Heredity
1421-9778,S. Karger AG,Cellular Physiology and Biochemistry
1421-9743,S. Karger AG,Brain Behavior and Evolution
1420-9071,Springer-Verlag,Cellular and Molecular Life Sciences
1420-682X,Springer-Verlag,Cellular and Molecular Life Sciences
1420-0597,Springer-Verlag,Computational Geosciences
1402-4896,IOP Publishing,Physica Scripta
1389-5729,Springer-Verlag,Biogerontology
1389-2037,Bentham Science,Current Protein and Peptide Science
1386-5056,Elsevier ,International Journal of Medical Informatics
1383-5769,Elsevier ,Parasitology International
1380-3743,Springer-Verlag,Molecular Breeding
1369-3786,Oxford University Press,Medical Mycology
1368-8375,Elsevier ,Oral Oncology
1366-9516,Wiley (Blackwell Publishing),Diversity and Distributions
1366-638X,Springer-Verlag,Journal of Insect Conservation
1364-8152,Elsevier ,Environmental Modelling & Software
1364-5528,The Royal Society of Chemistry,The Analyst
1364-503X,The Royal Society,Philosophical Transactions of The Royal Society A Mathematical Physical and Engineering Sciences
1361-6463,IOP Publishing,Journal of Physics D Applied Physics
1361-6404,IOP Publishing,European Journal of Physics
1360-9947,Oxford University Press,MHR Basic science of reproductive medicine
1357-0560,Springer-Verlag,Medical Oncology
1355-6215,Wiley (Blackwell Publishing),Addiction Biology
1351-0754,Wiley (Blackwell Publishing),European Journal of Soil Science
1350-9047,Springer Nature,Cell Death and Differentiation
1348-2246,Japan Society for Analytical Chemistry,Analytical Sciences
1338-5178,Slovak University of Agriculture in Nitra,Journal of Microbiology Biotechnology and Food Sciences
1303-5991,Ankara University,Communications Faculty Of Science University of Ankara Series A1Mathematics and Statistics
1286-4854,IOP Publishing - Europhysics Letters,EPL (Europhysics Letters)
1286-4579,Elsevier ,Microbes and Infection
1234-5678,London Mathematical Society,Proceedings of the London Mathematical Society
1201-9712,Elsevier ,International Journal of Infectious Diseases
1098-5530,American Society for Microbiology,Journal of Bacteriology
1098-5522,American Society for Microbiology,Infection and Immunity
1095-9289,Oxford University Press,ICES Journal of Marine Science
1095-8290,Oxford University Press,Annals of Botany
1095-6433,Elsevier ,Comparative Biochemistry and Physiology Part A Molecular & Integrative Physiology
1094-8341,American Physiological Society,Physiological Genomics
1093-3263,Elsevier ,Journal of Molecular Graphics and Modelling
1091-4269,Wiley (John Wiley & Sons),Depression and Anxiety
1089-7682,American Institute of Physics,Chaos An Interdisciplinary Journal of Nonlinear Science
1089-7623,American Institute of Physics,Review of Scientific Instruments
1084-9521,Elsevier ,Seminars in Cell and Developmental Biology
1083-8791,Elsevier ,Biology of Blood and Marrow Transplantation
1078-8956,Springer Nature,Nature Medicine
1078-0432,American Association for Cancer Research,Clinical Cancer Research
1077-4114,Ovid Technologies (Wolters Kluwer)  - Lippincott Williams & Wilkins,Journal of Pediatric Hematology/Oncology
1077-2626,Institute of Electrical and Electronics Engineers,IEEE Transactions on Visualization and Computer Graphics
1073-449X,American Thoracic Society,American Journal of Respiratory and Critical Care Medicine
1069-9384,Springer - Psychonomic Society,Psychonomic Bulletin & Review
1066-5099,Wiley (John Wiley & Sons),Stem Cells
1061-2971,Wiley (Blackwell Publishing),Restoration Ecology
1059-910X,Wiley (John Wiley & Sons),Microscopy Research and Technique
1054-3139,Oxford University Press,ICES Journal of Marine Science
1054-1500,American Institute of Physics,Chaos An Interdisciplinary Journal of Nonlinear Science
1053-8100,Elsevier ,Consciousness and Cognition
1052-3057,Elsevier ,Journal of Stroke and Cerebrovascular Diseases
1045-2257,Wiley (John Wiley & Sons),Genes Chromosomes and Cancer
1044-1549,American Thoracic Society,American Journal of Respiratory Cell and Molecular Biology
1042-8194,Informa UK (Taylor & Francis),Leukemia & Lymphoma
1041-1135,Institute of Electrical and Electronics Engineers,IEEE Photonics Technology Letters
1029-2403,Informa UK (Taylor & Francis),Leukemia & Lymphoma
1017-1398,Springer-Verlag,Numerical Algorithms
1015-8987,S. Karger AG,Cellular Physiology and Biochemistry
1007-9327,Baishideng Publishing Group Co ,World Journal of Gastroenterology
1001-6538,Springer-Verlag,Chinese Science Bulletin
0971-5916,Medknow Publications,The Indian Journal of Medical Research
0969-9961,Elsevier ,Neurobiology of Disease
0969-2126,Elsevier ,Structure
0967-3849,Springer-Verlag,Chromosome Research
0966-842X,Elsevier ,Trends in Microbiology
0965-8211,Informa UK (Taylor & Francis),Memory
0965-2140,Wiley (Blackwell Publishing),Addiction
0965-1748,Elsevier ,Insect Biochemistry and Molecular Biology
0962-1075,Wiley (Blackwell Publishing),Insect Molecular Biology
0959-8049,Elsevier ,European Journal of Cancer
0959-6658,Oxford University Press,Glycobiology
0959-440X,Elsevier ,Current Opinion in Structural Biology
0956-7976,SAGE Publications,Psychological Science
0956-5663,Elsevier ,Biosensors and Bioelectronics
0952-3480,Wiley (John Wiley & Sons),NMR in Biomedicine
0949-944X,Springer-Verlag,Development Genes and Evolution
0944-5013,Elsevier ,Microbiological Research
0942-0940,Springer-Verlag,Acta Neurochirurgica
0931-2048,Wiley (Blackwell Publishing),Journal of Applied Entomology
0931-041X,Springer-Verlag,Pediatric Nephrology
0928-4257,Elsevier ,Journal of Physiology-Paris
0925-4927,Elsevier ,Psychiatry Research Neuroimaging
0925-4773,Elsevier ,Mechanisms of Development
0925-4439,Elsevier ,Biochimica et Biophysica Acta (BBA) - Molecular Basis of Disease
0923-7534,Oxford University Press,Annals of Oncology
0920-9964,Elsevier ,Schizophrenia Research
0912-3814,Springer-Verlag,Ecological Research
0910-6340,Japan Society for Analytical Chemistry,Analytical Sciences
0896-8411,Elsevier ,Journal of Autoimmunity
0894-8755,American Meteorological Society,Journal of Climate
0894-1491,Wiley (John Wiley & Sons),Glia
0891-5849,Elsevier ,Free Radical Biology and Medicine
0891-0618,Elsevier ,Journal of Chemical Neuroanatomy
0829-318X,Oxford University Press,Tree Physiology
0803-5253,Wiley (Blackwell Publishing),Acta Paediatrica
0749-0208,BioOne (Coastal Education and Research Foundation),Journal of Coastal Research
0748-7304,SAGE Publications,Journal of Biological Rhythms
0743-7463,American Chemical Society,Langmuir
0740-0020,Elsevier ,Food Microbiology
0736-0266,Wiley (John Wiley & Sons),Journal of Orthopaedic Research®
0735-7044,American Psychological Association,Behavioral Neuroscience
0735-2689,Informa UK (Taylor & Francis),Critical Reviews in Plant Sciences
0730-8000,BioOne (National Shellfisheries Association),Journal of Shellfish Research
0378-8741,Elsevier ,Journal of Ethnopharmacology
0378-4371,Elsevier ,Physica A Statistical Mechanics and its Applications
0378-4274,Elsevier ,Toxicology Letters
0377-0427,Elsevier ,Journal of Computational and Applied Mathematics
0364-5134,Wiley (John Wiley & Sons),Annals of Neurology
0363-6143,American Physiological Society,AJP Cell Physiology
0362-2436,Ovid Technologies (Wolters Kluwer)  - Lippincott Williams & Wilkins,Spine
0362-1642,Annual Reviews,The Annual Review of Pharmacology and Toxicology
0361-9230,Elsevier ,Brain Research Bulletin
0344-5704,Springer-Verlag,Cancer Chemotherapy and Pharmacology
0340-5761,Springer-Verlag,Archives of Toxicology
0340-0727,Springer-Verlag,Psychological Research
0307-6962,Wiley (Blackwell Publishing),Physiological Entomology
0307-0565,Springer Nature,International Journal of Obesity
0306-9877,Elsevier ,Medical Hypotheses
0306-4565,Elsevier ,Journal of Thermal Biology
0305-7364,Oxford University Press,Annals of Botany
0304-3835,Elsevier ,Cancer Letters
0301-0511,Elsevier ,Biological Psychology
0300-9084,Elsevier ,Biochimie
0300-8177,Springer-Verlag,Molecular and Cellular Biochemistry
0300-5712,Elsevier ,Journal of Dentistry
0295-5075,IOP Publishing - Europhysics Letters,EPL (Europhysics Letters)
0278-7393,American Psychological Association,Journal of Experimental Psychology Learning Memory and Cognition
0268-1161,Oxford University Press,Human Reproduction
0265-9247,Wiley (John Wiley & Sons),BioEssays
0253-6102,IOP Publishing,Communications in Theoretical Physics
0233-111X,Wiley (John Wiley & Sons),Journal of Basic Microbiology
0198-8220,CrossRef test user,The Journal Of Test Deposits
0197-0186,Elsevier ,Neurochemistry International
0194-911X,Ovid Technologies Wolters Kluwer -American Heart Association,Hypertension
0175-7598,Springer-Verlag,Applied Microbiology and Biotechnology
0173-0835,Wiley (John Wiley & Sons),Electrophoresis
0171-8630,Inter-Research Science Center,Marine Ecology Progress Series
0169-6149,Springer-Verlag,Origins of Life and Evolution of Biospheres
0169-5347,Elsevier ,Trends in Ecology & Evolution
0168-9452,Elsevier ,Plant Science
0168-8278,Elsevier ,Journal of Hepatology
0168-1702,Elsevier ,Virus Research
0167-7799,Elsevier ,Trends in Biotechnology
0167-7322,Elsevier ,Journal of Molecular Liquids
0167-7012,Elsevier ,Journal of Microbiological Methods
0167-6857,Springer-Verlag,Plant Cell Tissue and Organ Culture (PCTOC)
0167-6806,Springer-Verlag,Breast Cancer Research and Treatment
0167-6369,Springer-Verlag,Environmental Monitoring and Assessment
0166-8595,Springer-Verlag,Photosynthesis Research
0166-445X,Elsevier ,Aquatic Toxicology
0165-1889,Elsevier ,Journal of Economic Dynamics and Control
0164-0291,Springer-Verlag,International Journal of Primatology
0162-3257,Springer-Verlag,Journal of Autism and Developmental Disorders
0161-6420,Elsevier ,Ophthalmology
0160-2896,Elsevier ,Intelligence
0149-0451,Informa UK (Taylor & Francis),Geomicrobiology Journal
0147-0272,Elsevier ,Current Problems in Cancer
0145-6008,Wiley (Blackwell Publishing),Alcoholism Clinical and Experimental Research
0145-479X,Springer-Verlag,Journal of Bioenergetics and Biomembranes
0143-5221,Portland Press,Clinical Science
0143-0807,IOP Publishing,European Journal of Physics
0142-9612,Elsevier ,Biomaterials
0141-1136,Elsevier ,Marine Environmental Research
0138-9130,Springer-Verlag,Scientometrics
0098-0331,Springer-Verlag,Journal of Chemical Ecology
0091-7451,Cold Spring Harbor Laboratory,Cold Spring Harbor Symposia on Quantitative Biology
0091-6749,Elsevier ,Journal of Allergy and Clinical Immunology
0091-3286,SPIE - International Society for Optical Engineering,Optical Engineering
0091-0627,Springer-Verlag,Journal of Abnormal Child Psychology
0077-8923,Wiley (Blackwell Publishing),Annals of the New York Academy of Sciences
0047-2484,Elsevier ,Journal of Human Evolution
0046-8177,Elsevier ,Human Pathology
0042-6822,Elsevier ,Virology
0041-0101,Elsevier ,Toxicon
0039-9140,Elsevier ,Talanta
0035-9009,Wiley (John Wiley & Sons),Quarterly Journal of the Royal Meteorological Society
0034-6748,American Institute of Physics,Review of Scientific Instruments
0034-6527,Oxford University Press,The Review of Economic Studies
0033-5835,Cambridge University Press,Quarterly Reviews of Biophysics
0033-5533,Oxford University Press,The Quarterly Journal of Economics
0033-183X,Springer-Verlag,PROTOPLASMA
0032-0935,Springer-Verlag,Planta
0032-0862,Wiley (Blackwell Publishing),Plant Pathology
0031-9317,Wiley (Blackwell Publishing),Physiologia Plantarum
0031-8949,IOP Publishing,Physica Scripta
0031-5850,Naturalis Biodiversity Center,Persoonia - Molecular Phylogeny and Evolution of Fungi
0031-3203,Elsevier ,Pattern Recognition
0031-1820,Cambridge University Press,Parasitology
0028-4793,New England Journal of Medicine,New England Journal of Medicine
0028-3878,Ovid Technologies (Wolters Kluwer) - American Academy of Neurology,Neurology
0028-1042,Springer-Verlag,The Science of Nature
0027-8874,Oxford University Press,JNCI Journal of the National Cancer Institute
0022-541X,Wiley (Blackwell Publishing),Journal of Wildlife Management
0022-3751,Wiley (Blackwell Publishing),The Journal of Physiology
0022-3727,IOP Publishing,Journal of Physics D Applied Physics
0022-3646,Wiley (Blackwell Publishing),Journal of Phycology
0022-3573,Wiley (Blackwell Publishing),Journal of Pharmacy and Pharmacology
0022-3050,BMJ,Journal of Neurology Neurosurgery & Psychiatry
0022-2828,Elsevier ,Journal of Molecular and Cellular Cardiology
0022-2623,American Chemical Society,Journal of Medicinal Chemistry
0022-1554,SAGE Publications,Journal of Histochemistry & Cytochemistry
0022-1112,Wiley (Blackwell Publishing),Journal of Fish Biology
0022-0795,Bioscientifica,Journal of Endocrinology
0022-0493,Oxford University Press,Journal of Economic Entomology
0022-0477,Wiley (Blackwell Publishing),Journal of Ecology
0021-972X,The Endocrine Society,The Journal of Clinical Endocrinology & Metabolism
0021-9568,American Chemical Society,Journal of Chemical & Engineering Data
0021-9541,Wiley (John Wiley & Sons),Journal of Cellular Physiology
0021-9193,American Society for Microbiology,Journal of Bacteriology
0021-9002,Cambridge University Press,Journal of Applied Probability
0021-8812,Oxford University Press,Journal of Animal Science
0021-8782,Wiley (Blackwell Publishing),Journal of Anatomy
0019-9567,American Society for Microbiology,Infection and Immunity
0018-9219,Institute of Electrical and Electronics Engineers,Proceedings of the IEEE
0018-442X,Elsevier ,HOMO
0016-6480,Elsevier ,General and Comparative Endocrinology
0016-5085,Elsevier ,Gastroenterology
0015-9018,Springer-Verlag,Foundations of Physics
0014-4819,Springer-Verlag,Experimental Brain Research
0012-8252,Elsevier ,Earth-Science Reviews
0012-186X,Springer-Verlag,Diabetologia
0010-5422,BioOne (Cooper Ornithological Society),The Condor
0010-0285,Elsevier ,Cognitive Psychology
0009-7330,Ovid Technologies Wolters Kluwer -American Heart Association,Circulation Research
0009-5915,Springer-Verlag,Chromosoma
0008-4042,Canadian Science Publishing,Canadian Journal of Chemistry
0007-0920,Springer Nature,British Journal of Cancer
0006-8993,Elsevier ,Brain Research
0006-8977,S. Karger AG,Brain Behavior and Evolution
0006-3185,The University of Chicago Press,Biological Bulletin
0005-2728,Elsevier ,Biochimica et Biophysica Acta (BBA) - Bioenergetics
0005-2086,BioOne (American Association of Avian Pathologists),Avian Diseases
0004-8038,BioOne (American Ornithologists Union),The Auk
0003-9888,BMJ,Archives of Disease in Childhood
0003-4800,Wiley (Blackwell Publishing),Annals of Human Genetics
0003-2654,The Royal Society of Chemistry,The Analyst
0002-953X,American Psychiatric Publishing,American Journal of Psychiatry
0002-7863,American Chemical Society,Journal of the American Chemical Society
0001-6322,Springer-Verlag,Acta Neuropathologica
0001-6268,Springer-Verlag,Acta Neurochirurgica
0001-5652,S. Karger AG,Human Heredity
0001-5342,Springer-Verlag,Acta Biotheoretica
